memberIdFrom,memberIdTo
129,381
792,232
697,533
434,276
609,635
685,309
531,758
11,599
651,735
135,218
205,365
523,463
769,356
174,448
323,865
397,290
170,962
162,271
359,206
402,964
641,629
813,451
262,499
262,724
30,233
887,495
941,746
747,199
496,746
434,488
887,958
973,733
874,221
104,295
616,339
769,828
831,341
725,754
119,375
640,589
185,381
586,495
1,281
995,533
1033,166
296,239
990,819
219,486
262,271
18,803
496,510
369,293
266,859
659,39
679,891
830,512
592,473
797,284
409,465
894,581
990,500
568,510
271,673
1028,933
1006,207
421,485
787,706
176,281
470,302
666,524
39,235
1026,59
785,186
742,486
71,295
535,629
1015,437
470,728
600,350
473,91
899,447
352,420
330,246
1037,736
757,835
486,459
334,479
403,493
917,498
550,183
586,446
609,834
761,1026
364,410
651,122
37,859
773,672
917,114
251,546
1005,598
219,816
676,924
204,245
592,546
422,310
808,1004
426,375
924,146
327,269
360,141
118,504
996,323
578,348
391,808
958,757
424,691
370,927
718,556
185,708
616,216
300,455
913,52
180,647
452,556
30,694
599,887
21,518
345,68
53,975
627,800
883,526
742,470
315,677
335,681
983,137
950,978
769,882
697,761
422,864
225,328
586,768
935,864
669,576
448,899
474,263
439,166
551,166
451,554
155,52
185,931
842,922
999,833
599,568
535,406
351,816
235,295
530,641
728,922
671,143
778,232
594,463
853,69
568,708
679,724
22,420
30,407
656,764
962,504
887,456
534,602
643,181
53,688
470,840
351,722
835,970
914,787
853,759
947,940
586,895
918,450
879,362
111,976
220,265
926,39
813,83
882,219
379,994
404,87
973,153
257,545
72,30
849,835
1001,518
1025,918
357,895
21,966
930,185
742,410
657,294
51,494
903,334
510,737
391,857
656,507
920,845
788,483
534,914
1012,982
337,91
624,473
30,153
510,817
57,233
224,377
976,155
511,581
613,204
887,738
340,211
153,447
811,518
342,532
295,696
214,927
348,114
417,437
871,284
370,232
623,834
343,470
539,659
83,679
721,728
568,795
447,954
883,39
166,702
467,493
98,58
636,458
229,771
512,816
746,864
13,956
788,180
627,794
922,446
882,72
807,240
120,126
224,735
185,440
656,695
359,501
571,490
1012,489
83,369
643,133
997,1012
746,748
8,613
26,550
357,931
669,997
186,882
997,496
176,759
958,57
737,323
100,637
914,980
643,495
662,591
357,381
993,680
941,964
996,438
850,100
79,115
496,26
357,326
1024,876
275,803
239,517
947,924
641,803
792,730
960,347
835,496
811,905
722,729
936,599
62,672
509,26
397,708
649,851
89,706
369,1024
255,954
286,11
814,22
510,419
880,392
1039,156
206,396
326,199
446,379
697,523
757,931
903,729
170,617
340,463
721,651
599,575
462,182
236,142
1021,708
465,992
1037,843
759,337
591,247
748,676
538,276
623,47
964,447
275,131
530,713
607,805
155,1010
647,583
58,283
221,352
767,164
544,322
46,420
748,186
401,578
980,1027
518,785
360,914
122,621
935,183
122,1043
165,193
81,770
333,45
389,466
239,575
375,917
708,233
262,730
845,931
914,707
599,72
794,800
951,375
446,764
280,962
696,876
53,350
694,589
914,943
1004,209
742,293
764,446
587,725
454,691
802,751
83,629
749,547
1004,542
515,123
201,263
123,1004
601,157
322,897
708,592
322,220
528,589
727,180
67,544
37,976
700,393
295,768
169,899
425,374
523,189
1021,183
556,122
65,737
789,713
398,948
468,463
817,539
76,387
687,993
463,257
286,905
952,111
1021,284
509,554
11,235
448,737
548,76
880,98
35,476
949,729
26,713
76,327
964,611
566,351
296,255
385,899
954,681
511,761
921,532
208,678
277,468
397,350
535,496
729,385
801,867
1014,688
578,492
108,660
835,713
544,750
527,1015
417,221
117,437
968,97
251,665
383,255
156,380
364,713
206,980
835,224
575,568
739,30
87,997
243,746
931,871
142,342
551,439
299,427
448,402
865,181
243,357
361,938
266,174
134,181
741,771
333,819
873,229
737,768
146,370
185,57
162,648
1,375
1038,616
548,211
286,633
578,227
786,896
598,719
795,459
52,966
927,747
387,1
1012,326
708,792
257,598
624,837
1033,301
349,421
89,316
646,176
334,448
7,990
641,735
634,81
641,398
808,711
566,233
917,426
840,722
351,762
364,1010
754,862
216,118
545,303
640,146
566,947
730,191
951,872
219,882
266,813
1015,117
399,773
643,183
625,569
274,957
816,357
137,951
209,943
349,249
952,323
258,231
1000,747
980,861
1012,479
1000,611
326,738
550,489
586,864
85,185
747,83
245,1028
576,509
300,962
688,731
966,950
68,571
47,628
284,859
299,270
68,431
931,738
295,685
293,25
391,858
689,44
446,742
817,673
518,1001
905,446
284,271
244,540
447,973
323,509
284,448
866,636
270,616
147,339
64,521
713,708
445,717
341,29
738,385
392,852
122,448
421,91
467,81
290,467
644,852
935,104
635,391
52,673
24,3
603,713
158,329
834,578
637,859
947,448
33,167
795,517
317,255
478,979
952,71
364,679
550,664
111,274
667,686
357,762
386,676
509,356
468,126
909,727
837,372
220,731
656,797
470,604
746,941
496,1024
663,166
47,1027
227,1005
741,698
206,426
216,690
459,586
470,644
120,211
508,735
931,154
997,459
1000,745
914,281
281,74
678,274
899,233
575,603
1021,407
876,924
944,58
876,459
930,469
123,137
539,351
551,391
310,830
78,259
224,394
108,604
131,470
302,1012
