memberId,facebook,google_circles,linkedin,instagram,sdn
1,1,0,0,1,1
2,1,1,0,0,1
3,1,0,0,1,0
4,0,1,1,1,1
5,1,1,0,0,1
6,1,0,1,0,1
7,0,0,0,1,0
8,0,1,1,0,1
9,1,1,0,0,1
10,0,1,1,1,0
11,1,0,0,1,1
12,1,0,1,0,0
13,0,1,0,0,1
14,0,1,0,1,0
15,0,0,0,0,1
16,1,1,1,0,1
17,1,1,1,0,0
18,1,0,1,1,0
19,1,0,0,0,1
20,0,0,1,1,1
21,1,1,0,0,1
22,0,0,1,0,1
23,0,1,0,0,1
24,0,0,1,0,1
25,0,0,1,0,0
26,0,0,0,0,1
27,1,0,1,1,0
28,1,1,0,1,0
29,1,0,0,1,0
30,0,1,1,0,1
31,0,1,1,0,0
32,1,1,0,0,1
33,1,1,0,1,0
34,0,0,0,0,1
35,0,0,0,1,1
36,1,0,1,0,0
37,1,0,0,0,1
38,1,1,1,0,1
39,0,0,1,0,0
40,0,0,0,1,0
41,1,1,0,0,1
42,1,1,1,1,0
43,0,1,1,1,1
44,0,0,1,1,1
45,0,1,1,1,1
46,1,1,0,1,1
47,1,1,0,0,1
48,0,0,0,0,0
49,1,1,0,0,0
50,1,0,0,0,1
51,0,0,0,0,0
52,1,1,1,0,0
53,1,0,0,0,1
54,1,1,0,1,1
55,0,1,1,0,0
56,0,1,1,0,1
57,0,1,0,0,1
58,0,1,0,0,0
59,0,0,0,0,0
60,0,1,1,0,1
61,0,0,0,1,0
62,1,1,1,0,1
63,1,0,0,1,0
64,0,1,0,0,0
65,0,0,1,1,1
66,1,0,1,1,0
67,0,0,1,1,0
68,0,1,1,1,0
69,0,1,0,1,1
70,1,0,1,0,1
71,1,1,0,0,0
72,1,0,0,1,1
73,0,0,0,0,1
74,1,1,0,0,1
75,0,0,0,1,0
76,1,0,1,1,0
77,1,0,1,0,0
78,1,1,0,1,1
79,0,1,1,1,1
80,1,1,1,1,0
81,1,0,0,1,0
82,1,1,0,1,1
83,0,1,0,0,1
84,0,1,1,0,1
85,0,1,0,0,0
86,0,1,1,0,0
87,1,0,1,0,0
88,1,1,1,0,0
89,1,0,1,1,1
90,1,0,1,1,1
91,0,0,0,0,0
92,1,1,1,1,0
93,1,1,0,0,1
94,1,1,1,1,0
95,1,1,1,0,0
96,1,0,1,1,0
97,0,0,0,1,1
98,1,1,1,0,1
99,0,0,0,0,0
100,1,0,1,1,0
101,1,0,1,1,0
102,1,1,1,0,0
103,1,0,0,0,0
104,1,0,0,0,1
105,1,0,0,0,0
106,1,0,0,0,1
107,1,0,1,1,1
108,0,1,1,1,1
109,1,0,1,1,1
110,1,0,0,1,1
111,1,1,0,0,0
112,0,1,0,0,0
113,1,0,0,1,1
114,1,0,1,1,1
115,0,1,1,1,1
116,1,1,1,0,1
117,0,1,1,0,0
118,1,0,0,1,1
119,0,0,0,0,0
120,0,0,1,0,1
